Station ID,Latitude,Longitude,Name,Elevation,Years,Month,Average Weatherscore
01001599999,61.383,5.867,"BRINGELAND, NO",327.0,1994,01,67.41379310344827
01047099999,69.0166667,23.0666667,"KAUTOKEINO II, NO",307.0,1994,01,91.50322580645161
01023099999,69.055758,18.540356,"BARDUFOSS, NO",76.8,1994,01,76.91290322580645
01052099999,70.6833333,23.6833333,"HAMMERFEST AIRPORT, NO",81.0,1994,01,71.11612903225806
01049099999,69.976111,23.371667,"ALTA, NO",2.74,1994,01,76.44516129032259
01001099999,70.9333333,-8.6666667,"JAN MAYEN NOR NAVY, NO",9.0,1994,01,83.4548387096774
01010099999,69.2925,16.144167,"ANDOYA, NO",13.1,1994,01,68.56129032258063
01046099999,69.786839,20.959444,"SORKJOSEN, NO",4.87,1994,01,73.47857142857141
01033099999,70.25,19.5,"TORSVAG FYR, NO",24.0,1994,01,69.80000000000001
01008099999,78.246111,15.465556,"LONGYEAR, SV",26.82,1994,01,89.87741935483871
01025099999,69.683333,18.918919,"TROMSO, NO",9.44,1994,01,71.18387096774194
01028099999,74.5166667,19.0166667,"BJORNOYA ISLAND, NO",18.0,1994,01,85.77666666666664
